X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.1448,0.2224,0.5369,0.7854,0.7776,0.3738,0.1486,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.1797,0.5951,0.9135,0.9911,0.9911,0.9911,0.9911,0.9911,0.9756,0.8242,0.5912,0.0283,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.1836,0.599,0.9368,0.9911,0.9911,0.8863,0.6495,0.5214,0.6099,0.7815,0.9911,0.8941,0.8785,0.4088,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.599,0.9135,0.9911,0.9911,0.731,0.5563,0.0361,0.005,0.005,0.005,0.1603,0.7737,0.9601,0.896,0.6218,0.0865,0.005,0.005
0.005,0.005,0.005,0.0361,0.4942,0.9872,0.9911,0.9096,0.5019,0.0477,0.005,0.005,0.005,0.005,0.005,0.1719,0.2768,0.9911,0.9911,0.9911,0.0865,0.005,0.005
0.005,0.005,0.005,0.2845,0.9484,0.9911,0.8902,0.2146,0.005,0.005,0.005,0.005,0.0166,0.1292,0.3634,0.8785,0.9445,0.9911,0.995,0.6339,0.0244,0.005,0.005
0.005,0.005,0.005,0.2962,0.9368,0.9911,0.8708,0.4282,0.5408,0.6961,0.6961,0.6611,0.8203,0.8465,0.9018,0.9911,0.9911,0.9911,0.9057,0.1525,0.005,0.005,0.005
0.005,0.005,0.005,0.0399,0.6844,0.9523,0.9872,0.995,0.9911,0.9911,0.9795,0.9911,0.9911,0.9911,0.9911,0.9911,0.9834,0.6689,0.1021,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.0671,0.533,0.7621,0.6883,0.5718,0.599,0.7815,0.9911,0.9911,0.9911,0.9911,0.5874,0.0671,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.6339,0.9911,0.9911,0.9406,0.3894,0.0166,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.4631,0.9756,0.9911,0.9911,0.3544,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.3932,0.9445,0.9911,0.9911,0.8242,0.0322,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.2146,0.9406,0.9911,0.9911,0.9445,0.2341,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.5136,0.9911,0.9911,0.9523,0.2535,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0555,0.9717,0.9911,0.9911,0.5951,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.0516,0.8902,0.9911,0.9911,0.8125,0.0361,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.3078,0.995,0.9911,0.9911,0.2612,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.8164,0.9911,0.9911,0.5369,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.8863,0.995,0.9096,0.1021,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.4437,0.995,0.4243,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
